Butter,2221,6,Montreal,Walmart,Pantry
SparklingWater,13,11,Laval,Walmart,Drinks
CanadianTurkey,42,44,Laval,Walmart,FrozenFood
Cerise,2,22,Laval,Walmart,Fruit
zucchini,8,6,Laval,Walmart,Vegetable
BlueberryMuffin,2,33,Laurentides,Walmart,Bakery
PureBakingSoda,49,2,Montreal,Walmart,CleaningSupplies
OatMilk,88,6,Laurentides,Walmart,Dairy
ProteinDrink,9,9,Montreal,Walmart,Drinks
ChickenNuggets,4,11,Montreal,Walmart,FrozenFood
Broccoli,2,22,Montreal,Walmart,Vegetable
ScrubSponges,8888888,33,Montreal,Walmart,CleaningSupplies
pen,6,10,aaa,Walmart,Drinks
